Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS15005	2.69253882906794	1.91033561908706	0.669934003354838	2.85152807518448	0.00435096438000789	0.0462618380796405	52	0.0153415202660534	NZ_CP069563.1		anaerobic C4-dicarboxylate transporter family protein	B. fragilis	CRC vs Paired
C7Y58_RS05570	1.71198099336313	3.04054393389482	1.06662967726393	2.85060879019819	0.00436356201973901	0.0462618380796405	22	0.0680610554559366	NZ_CP028101.1		TonB-dependent receptor	F. nucleatum	CRC vs Paired
C7Y58_RS08615	3.22092709746408	2.27106377935803	0.796183580745349	2.85243734520621	0.00433853642579736	0.0462618380796405	42	0.066353430408655	NZ_CP028101.1	rplU	50S ribosomal protein L21	F. nucleatum	CRC vs Paired
C7Y58_RS04740	1.25842363664813	2.79088977290766	0.984904598060823	2.83366508634708	0.00460175321927433	0.0483395177621019	24	0.0290296258037866	NZ_CP028101.1		L,D-transpeptidase family protein	F. nucleatum	CRC vs Paired
I6J55_RS12555	5.55123432056453	-0.989666247688182	0.349954093602306	-2.82798877275845	0.00468414492684693	0.0487576903749066	89	0.0309134343876924	NZ_CP069563.1	fucI	L-fucose isomerase	B. fragilis	CRC vs Paired
C7Y58_RS09460	2.39949541911603	2.10289505874758	0.752299199340495	2.7952908371976	0.00518530434757404	0.0534880493511016	45	0.0372153839669458	NZ_CP028101.1	infA	translation initiation factor IF-1	F. nucleatum	CRC vs Paired
C7Y58_RS09280	4.50942918219766	2.53484804454261	0.90900715576416	2.78858975803297	0.00529380757406381	0.0541197292169917	33	0.0745662937312949	NZ_CP028101.1		iron transporter	F. nucleatum	CRC vs Paired
C7Y58_RS01045	2.53798691964196	1.76525552937764	0.63498983126261	2.77997448536715	0.00543631695964181	0.0542720880976748	52	0.0446150925051659	NZ_CP028101.1	pnp	polyribonucleotide nucleotidyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS01175	4.28164963048001	1.96776775504439	0.708058357547047	2.77910391717062	0.00545090841155686	0.0542720880976748	48	0.0812883732824985	NZ_CP028101.1		V-type ATP synthase subunit B	F. nucleatum	CRC vs Paired
C7Y58_RS08150	3.61970415395185	2.59071616779127	0.931577675264274	2.78099855393843	0.0054191978550751	0.0542720880976748	33	0.0617997636159042	NZ_CP028101.1		HU family DNA-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS02245	1.65920638119805	1.82943377443792	0.664256454380714	2.7541076377549	0.00588524091314891	0.0568064213637922	42	0.0280131823232618	NZ_CP028101.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	F. nucleatum	CRC vs Paired
C7Y58_RS03305	2.20696862428581	2.9600459140374	1.07484341130973	2.75393223132891	0.00588839595408635	0.0568064213637922	23	0.0380149861716253	NZ_CP028101.1		OmpH family outer membrane protein	F. nucleatum	CRC vs Paired
C7Y58_RS04465	1.61462141141303	2.43982533368011	0.886185044277426	2.75317818714655	0.00590197634111631	0.0568064213637922	29	0.0255872705497428	NZ_CP028101.1		PolC-type DNA polymerase III	F. nucleatum	CRC vs Paired
C7Y58_RS10120	4.69036421475422	2.05662985726102	0.747031018113737	2.75307156917532	0.00590389881422818	0.0568064213637922	48	0.065120145652285	NZ_CP028101.1		FprA family A-type flavoprotein	F. nucleatum	CRC vs Paired
C7Y58_RS10125	4.48058093614127	2.06721187567148	0.751879853446367	2.74939123078783	0.00597060750406112	0.0569695466012498	49	0.0758944465458472	NZ_CP028101.1		acyl-CoA dehydrogenase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS00730	1.27905105951285	2.33830694281483	0.852636723681633	2.74244221233888	0.00609841793827228	0.0572351519616538	30	0.0264817408126045	NZ_CP028101.1	rplW	50S ribosomal protein L23	F. nucleatum	CRC vs Paired
C7Y58_RS04695	2.13323372582072	2.1277543699359	0.775723175391958	2.74293000059047	0.00608936647371889	0.0572351519616538	36	0.05341071675664	NZ_CP028101.1	infC	translation initiation factor IF-3	F. nucleatum	CRC vs Paired
C7Y58_RS02600	1.77190774013396	2.6956891417928	0.988929499907609	2.72586583982443	0.00641330602109741	0.0597011007655003	25	0.0239067506619419	NZ_CP028101.1		dicarboxylate/amino acid:cation symporter	F. nucleatum	CRC vs Paired
