Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS03490	3.15514073859707	1.63319802595016	3.22050829443511	0.507124303567934	0.612067603308563	NA	6	0.00105334048245712	NZ_CP069563.1		HipA family kinase	B. fragilis	CRC vs Healthy
I6J55_RS03495	0.661232385483985	-0.442397490904068	3.58649596818107	-0.123350895924312	0.901829239405143	NA	5	0.000390755340266352	NZ_CP069563.1		AAA family ATPase	B. fragilis	CRC vs Healthy
I6J55_RS03500	4.60958433148941	1.97475514549512	5.4717019997959	0.360903270238179	0.718171758826932	NA	4	0.000475702153367733	NZ_CP069563.1		VWA domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS03505	3.42163119216424	1.71001478059493	3.50093420844188	0.488445277398112	0.625234477734987	NA	6	0.00248044694256032	NZ_CP069563.1		RagB/SusD family nutrient uptake outer membrane protein	B. fragilis	CRC vs Healthy
I6J55_RS03520	9.00691814132115	-2.64667910001862	1.64435645011698	-1.60955314757353	0.107495443536499	NA	9	0.00290518100806723	NZ_CP069563.1		beta-N-acetylhexosaminidase	B. fragilis	CRC vs Healthy
I6J55_RS03530	6.23213219769745	-2.63384512029886	1.78216794277856	-1.47788828262305	0.139437683116543	NA	9	0.00146108518534375	NZ_CP069563.1		PD-(D/E)XK nuclease family protein	B. fragilis	CRC vs Healthy
I6J55_RS03545	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03550	5.40909142666991	0.582052910696514	3.51855432735215	0.165423880532927	0.868610358659758	NA	6	0.00101936175721657	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03555	1.44203747552808	-5.71346165057127	4.55649474458011	-1.25391599702103	0.209872539884267	NA	3	0.00013591490096221	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03560	3.58230439369498	-3.920300269893	4.55758988785918	-0.86016959980014	0.389695559722471	NA	4	0.000339787252405524	NZ_CP069563.1		FimB/Mfa2 family fimbrial subunit	B. fragilis	CRC vs Healthy
I6J55_RS03565	1.48688914171762	-0.402987956153299	4.51236034142424	-0.0893075742320047	0.928837474758701	NA	4	0.000407744702886629	NZ_CP069563.1		Mfa1 family fimbria major subunit	B. fragilis	CRC vs Healthy
I6J55_RS03570	3.57790161741258	-3.3953240048293	2.86723301389276	-1.18418140010866	0.2363412632551	NA	6	0.00084946813101381	NZ_CP069563.1		DUF3868 domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS03575	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		DUF3575 domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS03580	10.3552273702116	-0.719539717828965	1.78877754141638	-0.402252209215028	0.687498422361459	NA	10	0.0027862554697253	NZ_CP069563.1		IbrB-like domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS03590	1.70913013381671	0.811134423729109	3.55727403007615	0.228021349176674	0.81962964343176	NA	5	0.0010023723945963	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03595	1.70400956883837	-4.53927644305355	3.74080871638097	-1.21344788980417	0.224958626120249	NA	4	0.000305808527164971	NZ_CP069563.1		helix-turn-helix transcriptional regulator	B. fragilis	CRC vs Healthy
I6J55_RS03600	0.584543593956194	-0.64899118716987	4.51406853095066	-0.143770787421606	0.885681471441686	NA	4	0.000254840439304143	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS03605	3.78575530394487	-4.28672762781374	4.18495831196886	-1.02431788043236	0.305685155175642	NA	4	0.000509680878608286	NZ_CP069563.1		Lrp/AsnC family transcriptional regulator	B. fragilis	CRC vs Healthy
